Index,CID,URL (Small),"URL (Large, Watermarked)",Tags
1,89585605,https://t3.ftcdn.net/jpg/00/89/58/56/240_F_89585605_JSYfDEYQkIHzmBoCewFZKZs7uaUKaCRj.jpg,https://as2.ftcdn.net/jpg/00/89/58/56/1000_F_89585605_JSYfDEYQkIHzmBoCewFZKZs7uaUKaCRj.jpg,mensch;europäisch;mann;senior;senioren;frau;seniorin;alter;natur;gesund;draußen;polen;warschau;fitness;fit;vital;aktivität;aktiv;sport;gemeinsam;himmel;paar;wiese;frisbee;fliegen;stehen;werfen;jogginghosen;trainingsanzug;trainingshose;park;sportlich;spielen
2,69863438,https://t3.ftcdn.net/jpg/00/69/86/34/240_F_69863438_0PrQoRBQoInd8ICYFafKmYRXyPH1RWzI.jpg,https://as2.ftcdn.net/jpg/00/69/86/34/1000_F_69863438_0PrQoRBQoInd8ICYFafKmYRXyPH1RWzI.jpg,beach;swimsuit;swimwear;green;summer;bag;travel;closeup;coastal;coast;leisure;shore;glasses;sunglasses;nobody;tropical;seaside;hat;sand;holiday;straw;sun;recreation;lifestyle;blue;tropic;tourism;seashore;enjoyment;sea;turquoise;water;sandy;coastline;exotic;vacation;accessory;relaxation;ocean;swim;equipment;sunbathing;sky;resort;background;seashell;sunblock;sport;frisbee
3,82492318,https://t3.ftcdn.net/jpg/00/82/49/23/240_F_82492318_cgumQxkw6h6SwcWPnGOi54PfKJaO7PQZ.jpg,https://as2.ftcdn.net/jpg/00/82/49/23/1000_F_82492318_cgumQxkw6h6SwcWPnGOi54PfKJaO7PQZ.jpg,20-25 years;beach;bikini;bikini top;blond hair;caucasian appearance;european;clear sky;close-up;color image;day;holding;long hair;one person;one woman only;women;one young woman only;outdoors;photography;plastic disc;playing;sea;semi naked;side view;profile;standing;swimwear;three-quarter length;vertical;water;young adult;leisure activity;lifestyles;vacations;frisbee;travel;tropical;rest;relaxing;relaxation;20-24 years;20;20 s;20s;below 25-29;twenties;twenty;twenty something;travel destinations;coast;coastline;geological formation;land;sand;seashore;seaside;shore;shoreline;natural;beaches;refreshment;costume;swimming suit;two-piece;blond-hair;blonde;blondish;blondness;brown hair;fair-haired;light-haired;yellowish hair;caucasian-ethnicity;caucasic;caucasoid;light-skinned;white person;caucasia;caucasian language;close up;close ups;close-ups;at close range;very close;de prū s;primer plano;color;colored;colorimage;colors;color-image;colour image;colour;colours;colour-image;hold;hand;keeping;material possession;take hold;held;holds;long-hair;long-hairs;longhaired;hair;hairs;long hairs;1 person only;alone;being;humen;human being;individual;living;living being;one;one person only;one-person;only 1 person;only one person;person;single;solo;1 female human only;1 female only;1 human only;1-woman only;female humen;female only;one female human only;one female only;one human only;one-woman only;one young-woman only;one young adult women;one young adult woman only;one young female only;one young human only;one young women;1 young adult women;1 young adult woman only;1 young female only;1 young human only;1 young woman only;young women;building structure;exterior;exteriors;out of doors;out-of-doors;outdoor;outside;outsides;alfresco;photography themes;pictorial representation;picture taking;picturing;photo;photo graphy;photo-graphy;photographs;photos;activity;musical performance;performing;acting;action;semi-naked;seminaked;side-views;side profile;side views;side-profile;represent;side-view;sideview;profiles;motion;position;status;stood;stand;swim-wear;swimming;swimming costume;swimsuit;bathing costume;bathing suit;swim wear;vetements de bain;badekleidung;ropa de bano;perpendicular;plumb;upright;vertically;adult;young;youth;youthful;young adults;leisure-activity;spare time;spare-time;free time;free-time;lifestyle;manner;mode;modus vivendi;style;fashion;life style;life-style;way;style de vie;lebensstil;estilo de vida;vacation;holiday;leisure;leisure time;vacances;ferien;vacaciones;rubberball
4,44820357,https://t3.ftcdn.net/jpg/00/44/82/03/240_F_44820357_xfwMx7qiLADBfFkNzd4EWj6k35X590Cx.jpg,https://as2.ftcdn.net/jpg/00/44/82/03/1000_F_44820357_xfwMx7qiLADBfFkNzd4EWj6k35X590Cx.jpg,autumn;beautiful;caucasian;determination;disc golf;equipment;female;free time;frisbee;frolf;game;girl;happy;hobby;lawn;leisure;nature;outdoor;outdoor life;outdoors;outside;park;people;play;recreation;recreational;scandinavian;smile;smiling;sport;woman;young
5,22338082,https://t3.ftcdn.net/jpg/00/22/33/80/240_F_22338082_sKdYbk5tbqPm8zn6nKk0YvnZEskXUqcC.jpg,https://as2.ftcdn.net/jpg/00/22/33/80/1000_F_22338082_sKdYbk5tbqPm8zn6nKk0YvnZEskXUqcC.jpg,enfant;garçon;jeu;amuser;amusement;sport;frisbee;attraper;sauter;vivre;adolescent;ado;détente;plage;vacances;s'amuser;mer;sable;joie;heureux
6,44822025,https://t3.ftcdn.net/jpg/00/44/82/20/240_F_44822025_U1VYNZSeSRQZdOmmZNiBisYDUvDAJbEe.jpg,https://as2.ftcdn.net/jpg/00/44/82/20/1000_F_44822025_U1VYNZSeSRQZdOmmZNiBisYDUvDAJbEe.jpg,aim;aiming;autumn;beautiful;caucasian;concentrate;concentration;disc golf;equipment;exercising;female;free time;frisbee;frolf;game;girl;goal;hobby;leisure;nature;outdoor;outdoor life;outdoors;outside;park;people;play;recreation;recreational;scandinavian;sky;sport;target;throw;throwing;toss;woman;young
7,114592002,https://t3.ftcdn.net/jpg/01/14/59/20/240_F_114592002_4v4CZ3kXLdtc9uurK8cHu9xK4eo3h9Sb.jpg,https://as2.ftcdn.net/jpg/01/14/59/20/1000_F_114592002_4v4CZ3kXLdtc9uurK8cHu9xK4eo3h9Sb.jpg,frisbee;spielen;scheibe;paar;senioren;werfen;freizeit;spaß;frau;mann;senior;fliegen;sport;spiel;sommer;glücklich;aktiv;zusammenspiel;lächeln;alt;älter;rentner;hände;natur;wiese;park;zusammen;miteinander;gemeinsam;leute
8,66648283,https://t3.ftcdn.net/jpg/00/66/64/82/240_F_66648283_OqMfAyILRSIzdshShfjmJzuBxmk8Psme.jpg,https://as2.ftcdn.net/jpg/00/66/64/82/1000_F_66648283_OqMfAyILRSIzdshShfjmJzuBxmk8Psme.jpg,dog;border;collie;agility;frisbee;disc;breed;outdoor;dish;meadow;park;green;white;lawn;flower;yellow;pedigree;show;grass;jump;summer;outside;black;funny;friend;energy;catching;up;training;run;toy;speed;tricks;playful;dandelion;competition;yard;play;canine;nature;purebred;pet;game;action;sport;happy;animal;fast
9,87178148,https://t3.ftcdn.net/jpg/00/87/17/81/240_F_87178148_9NpsShxIxLGFGp75FgpDzo8kVufx3bN2.jpg,https://as2.ftcdn.net/jpg/00/87/17/81/1000_F_87178148_9NpsShxIxLGFGp75FgpDzo8kVufx3bN2.jpg,dog;frisbee;terrier;animal;background;white;cute;russell;outdoor;domestic;pet;canine;breed;pedigree;disk;jack;active;fox;beauty;flying;green;young;park;running;purple;meadow;playing;dog playing
10,7280594,https://t3.ftcdn.net/jpg/00/07/28/05/240_F_7280594_ujNEC4w5TSKzJccMkofgEI9Bm6Fp4FDo.jpg,https://as2.ftcdn.net/jpg/00/07/28/05/1000_F_7280594_ujNEC4w5TSKzJccMkofgEI9Bm6Fp4FDo.jpg,dog;canine;bitch;jack russel;terrier;cruel;speed;jumping;mid-air;high up;plastic disc;sport;playing;courage;joy;skill;nature;animal;flying;awe;excitement;fur;animal behavior;mixing;retrieving;catching;playful;agility;accuracy;effort;determination;action;compete;competition;frisbee
